datasetid,recordid,record_timestamp,commune,obs_gestion,section,geo_point_2d,nom_voie,mot_directeur,pole,tm,observations,code_insee,carte_velo,longueur_m,type,obs_type,revetement,eclairage,geometry_type,geometry_coordinates,geo_shape_type,geo_shape_coordinates_1,geo_shape_coordinates_2,geo_shape_coordinates_3
reseau-cyclable-et-vert,1fe30e01b9912e563297fdee643d758ffb4ee331,2021-10-06 00:01:14.899+02:00,Colomiers,,,"(43.6179337434, 1.3023289394)",,,Ouest,oui,,31149,Piste cyclable ou partagee,205,RC,voie verte,,,Point,"(1.3023289394, 43.6179337434)",MultiLineString,"[(1.301267504876223, 43.617528787509706), (1.301741115124687, 43.61759514434856), (1.30192407632524, 43.61761976199328), (1.302226936645164, 43.617810631950846), (1.3023273607107821, 43.617908058070185), (1.302730670584452, 43.618150663050386), (1.303105338048277, 43.61838279208584), (1.303324076434402, 43.61852307573119)]",,
reseau-cyclable-et-vert,5db352ab8dbc6d5771d6b9490987130c63183e69,2021-10-06 00:01:14.899+02:00,Colomiers,,,"(43.6230334482, 1.30175266162)",,,Ouest,oui,,31149,Reseau vert,236,RV,reseau vert,,,Point,"(1.30175266162, 43.6230334482)",MultiLineString,"[(1.301768010435554, 43.622188449901024), (1.301931591251138, 43.62245768895607), (1.3013571573838671, 43.622848595357404), (1.301348568134706, 43.622976404896505), (1.302303835049604, 43.623863142851185)]",,
reseau-cyclable-et-vert,af8b84d932b2cb38402c9ab5a52d382ef7350e20,2021-10-06 00:01:14.899+02:00,Colomiers,TM,,"(43.6180384816, 1.33926006877)",,,Ouest,oui,,31149,Piste cyclable ou partagee,128,RC,piste cyclable,,,Point,"(1.33926006877, 43.6180384816)",MultiLineString,"[(1.33966456124193, 43.61754221317574), (1.339193826481182, 43.6180964982185), (1.339206270747796, 43.61818266182893), (1.339093095885566, 43.61831861077158), (1.338810927297951, 43.61846717847765)]",,
reseau-cyclable-et-vert,9f6a60c38d890892f8ac1f24f533fcb81dde4544,2021-10-06 00:01:14.899+02:00,Fonbeauzard,TM,,"(43.6794194354, 1.42448162332)",,,Nord,oui,0,31186,Bande cyclable ou couloir bus,263,RC,CVCB,,,Point,"(1.42448162332, 43.6794194354)",MultiLineString,"[(1.42309854922857, 43.67881710715125), (1.4232250915009441, 43.67882803678038), (1.423647089826201, 43.679061598731465), (1.4244465901577499, 43.67953271579823), (1.42477230687685, 43.6796890261326), (1.42512311346582, 43.67973291798843), (1.425944270635232, 43.67970467367021)]",,
reseau-cyclable-et-vert,74fc2c7431dced42ad50940468c91025407f16f9,2021-10-06 00:01:14.899+02:00,Gagnac-sur-Garonne,TM,Garonne /  ch de la,"(43.7083116497, 1.36327370283)",Voie de la Beauté à l'Espagnol,MILLERES,Nord,oui,,31205,Reseau vert,459,RV,reseau vert,,,Point,"(1.36327370283, 43.7083116497)",MultiLineString,"[(1.36167135171252, 43.70713013724238), (1.361692407164915, 43.70723485310742), (1.3616533259464831, 43.70755147173843), (1.361685452605425, 43.70766055364448), (1.3617501650619341, 43.70777086175062), (1.3618753855109471, 43.707867103843014), (1.361929562390233, 43.7080300496822), (1.362053327171328, 43.70817853573522), (1.362133507849901, 43.70825668160604), (1.36241490417506, 43.70858909822592), (1.3628096713846611, 43.70835913344197), (1.363051296722306, 43.708281459805555), (1.363376188194664, 43.70827446826777), (1.363640479682042, 43.70834384719469), (1.363867320850002, 43.70842042020776), (1.364126497760904, 43.70848200368557), (1.365571071469974, 43.70892669229533)]",,
reseau-cyclable-et-vert,d1642a7e576e64d58e3f8db5b4bace6aebd1b47d,2021-10-06 00:01:14.899+02:00,Cugnaux,TM,,"(43.5550645015, 1.35843021592)",,VCSM,Sud,oui,,31157,Piste cyclable ou partagee,361,RC,piste cyclable,,,Point,"(1.35843021592, 43.5550645015)",MultiLineString,"[(1.359403934226846, 43.55569114806196), (1.359168428998574, 43.555482604595454), (1.358926495182671, 43.5553224720935), (1.357739868351387, 43.55461912772225), (1.357438214436322, 43.55439098815127), (1.357355556526749, 43.55422192332701), (1.35731484248133, 43.55406651429583), (1.357188663545088, 43.554085238505984), (1.357146883744828, 43.554017489591864), (1.356948852923108, 43.55394192004126)]","[(1.359908784517611, 43.556567605374774), (1.359852156563866, 43.556383989395), (1.359750771712522, 43.55614750606268), (1.3596224554233411, 43.55595914112428)]",
reseau-cyclable-et-vert,9887dfdeda40a47958de2855cc339b9c5b5500fc,2021-10-06 00:01:14.899+02:00,Toulouse,TM,,"(43.6467698602, 1.48519775888)",,,Est,oui,,31555,Reseau vert,150,RV,reseau vert,,,Point,"(1.48519775888, 43.6467698602)",MultiLineString,"[(1.48451282532919, 43.6465416242901), (1.484604647638832, 43.64649784718499), (1.4846973193301611, 43.64648624394438), (1.48482780519684, 43.646473033043684), (1.4849851122936442, 43.646496923571135), (1.485088533983145, 43.646553522307244), (1.485148534802633, 43.64664006954892), (1.485168207422689, 43.64672253100663), (1.485234139366933, 43.646849805872776), (1.485363384586398, 43.64692362868572), (1.485459275085856, 43.646960302172246), (1.485531232799031, 43.64703085592418), (1.485657852437443, 43.647105603645485), (1.485759894196672, 43.64716786762418), (1.485862701926906, 43.647176209802566)]",,
reseau-cyclable-et-vert,776ce56cf067470579a05c06fa16acac773073f1,2021-10-06 00:01:14.899+02:00,Colomiers,TM,,"(43.6024321084, 1.34228439338)",,,Ouest,oui,0,31149,Piste cyclable ou partagee,450,RC,voie verte,,,Point,"(1.34228439338, 43.6024321084)",MultiLineString,"[(1.339561593261414, 43.60273356812337), (1.341015550162515, 43.60246697339823), (1.341645095483361, 43.60235397927964), (1.342212154359557, 43.602282325614006), (1.342703702230841, 43.6022565204957), (1.343200052226355, 43.60229179608717), (1.343589359078, 43.6023443095707), (1.344316154889823, 43.60245563034816), (1.3450137695816, 43.60257122263858)]",,
reseau-cyclable-et-vert,0cef7d7b01ecaca66401e668e47ae13eb6a32333,2021-10-06 00:01:14.899+02:00,Beauzelle,TM,,"(43.670574094, 1.3676411047400001)",,,Ouest,oui,,31056,Piste cyclable ou partagee,131,RC,piste cyclable,,,Point,"(1.3676411047400001, 43.670574094)",MultiLineString,"[(1.3679993730588, 43.67005215289879), (1.367962643469754, 43.67008519180989), (1.367915111007969, 43.670159865152094), (1.367797795809851, 43.67032476176967), (1.367742247799606, 43.670407301606765), (1.367455977894425, 43.67085899857004), (1.367303287680397, 43.671111257896484)]",,
reseau-cyclable-et-vert,8427928796329579499ee6e21ce571e0468c88bf,2021-10-06 00:01:14.899+02:00,Pibrac,TM,,"(43.6225100829, 1.28864740776)",,,Ouest,oui,,31417,Reseau vert,282,RV,reseau vert,,,Point,"(1.28864740776, 43.6225100829)",MultiLineString,"[(1.286936662282413, 43.622578192078684), (1.287168156261403, 43.622597368923955), (1.287353250596401, 43.622588675548876), (1.287592019220454, 43.622564395640055), (1.2878557809349211, 43.62252615496845), (1.288068290751215, 43.62251393046389), (1.288353933559097, 43.62249008371206), (1.288705694694121, 43.622483876879414), (1.2889647479305721, 43.62249100559251), (1.289246273054143, 43.622479416684094), (1.289619035051109, 43.62246394081541), (1.2899853729686441, 43.62244367478027), (1.290172442561375, 43.62247094993766), (1.290229845421073, 43.622539602824624), (1.29021987277317, 43.622588710434634), (1.290259626914531, 43.622624084358144)]",,
